id,label
11040,0.000016
12114,0.999420
9987,0.987572
2352,0.000194
5992,0.991770
5038,0.000106
1061,0.000099
11665,0.999519
6158,0.000097
6491,0.999442
7652,0.999124
3463,0.000072
6968,0.000127
10381,0.000056
10886,0.000031
5481,0.999865
9833,0.999083
8032,0.997019
9293,0.000030
4572,0.000048
11326,0.994100
4851,0.000082
4860,0.999985
7569,0.997594
7633,0.000001
5621,0.000203
8471,0.000071
4899,0.000153
2569,0.999918
10113,0.999837
9516,0.980716
9478,0.997470
11335,0.997175
7198,0.995628
10297,0.999864
124,0.000009
5904,0.985666
2840,0.000002
8034,0.000007
7476,0.000456
10006,0.000006
6946,0.000214
9280,0.999969
12099,0.021872
8922,0.000475
1406,0.000002
3829,0.999991
2378,0.990604
2328,0.000034
2393,0.999953
1208,0.000079
426,0.000138
11134,0.997444
856,0.000470
3629,0.000083
2944,0.000039
7977,0.998707
12247,0.392984
7016,0.009152
962,0.998334
11953,0.999907
10929,0.846131
11701,0.000165
2029,0.000008
2263,0.999735
7418,0.009386
9318,0.000006
8459,0.000140
4767,0.998403
7511,0.000040
5724,0.000274
4024,0.999781
12052,0.999973
2750,0.000004
11138,0.998219
8909,0.000055
2667,0.000496
11056,0.000010
4985,0.125558
9997,0.998930
11324,0.000014
11093,0.998541
74,0.999974
8525,0.000041
10324,0.972489
6450,0.998824
5094,0.811413
11179,0.000013
6660,0.000007
1509,0.997082
1158,0.996291
6201,0.997860
9413,0.967844
10854,0.999927
3749,0.998918
7144,0.999820
1482,0.906334
1764,0.999976
1754,0.000328
2785,0.000018
8530,0.000078
1165,0.531077
11261,0.999759
11242,0.999985
8270,0.000039
6833,0.484579
2920,0.000003
11964,0.996571
4730,0.900394
10369,0.000107
57,0.999951
8280,0.999710
5394,0.999842
7849,0.988899
3878,0.000024
11621,0.000004
9969,0.999585
7106,0.000050
6707,0.998458
9868,0.001858
3069,0.957073
10694,0.000023
9406,0.000060
11249,0.997394
6360,0.000039
807,0.999956
7600,0.987486
8741,0.000020
672,0.000014
5384,0.000043
11853,0.000000
7422,0.999994
3424,0.977626
7670,0.000379
4082,0.709674
11394,0.999900
11095,0.995715
4643,0.995738
7535,0.000033
2235,0.000029
965,0.000007
3604,0.000056
5201,0.000479
10939,0.000008
266,0.000017
8760,0.000363
3015,0.044250
8045,0.856768
11794,0.000038
3714,0.017395
11562,0.999316
10439,0.003618
10472,0.000018
6011,0.000013
7509,0.999962
5489,0.997823
11185,0.000003
8191,0.951944
6855,0.000042
11406,0.999647
3409,0.999829
3267,0.003049
2109,0.997650
6480,0.971018
7579,0.999802
8526,0.000049
5196,0.000001
11932,0.999950
5144,0.000007
11866,0.365530
11514,0.079499
5457,0.998459
2859,0.000074
808,0.920197
3322,0.000071
741,0.008027
11308,0.999894
9818,0.999902
8583,0.998282
6436,0.999681
5917,0.997261
6061,0.912634
7017,0.999814
5386,0.000024
6349,0.994323
5316,0.000145
2255,0.927283
1747,0.000020
8002,0.000016
8489,0.000025
7573,0.000285
4120,0.000029
11740,0.999843
472,0.982743
5329,0.000003
307,0.999568
12219,0.951362
3840,0.000061
1836,0.000003
9447,0.000077
3958,0.000022
4336,0.999161
3832,0.000142
6945,0.958647
10482,0.000024
5497,0.189171
7101,0.000652
5672,0.997887
2280,0.996389
7757,0.000093
11606,0.000025
8709,0.000000
6126,0.986533
517,0.999946
8765,0.000136
2867,0.995009
11741,0.004100
9979,0.000013
7431,0.999962
4090,0.998827
5141,0.959296
8673,0.530500
2347,0.018332
6184,0.000027
4354,0.999000
12185,0.998420
3429,0.000018
11284,0.999856
2036,0.000002
5640,0.998906
2717,0.955826
2171,0.935941
958,0.999841
2258,0.999710
8402,0.000216
11353,0.000006
6074,0.000038
9867,0.999793
7003,0.000226
12313,0.999265
8799,0.997801
5101,0.999162
182,0.999466
8494,0.000005
1193,0.000020
10053,0.887615
3135,0.000017
8051,0.999566
11202,0.984143
6600,0.999993
7527,0.000009
9281,0.999927
10448,0.999961
8068,0.932139
1078,0.000210
10795,0.996067
9710,0.000007
2846,0.838132
1067,0.999916
4762,0.000055
5912,0.000094
12013,0.996640
3413,0.999089
11462,0.007122
10524,0.982460
8207,0.999970
12364,0.993795
4005,0.000002
2829,0.897186
6283,0.997013
320,0.000252
208,0.000012
9617,0.000048
12323,0.998030
1060,0.000002
640,0.000028
8961,0.999963
2590,0.999832
11055,0.007323
73,0.999618
12044,0.000030
644,0.929842
360,0.000005
9506,0.000034
2625,0.000006
7635,0.059055
648,0.000059
4633,0.002407
11698,0.000484
12397,0.000011
10992,0.000112
10914,0.995222
9497,0.999973
4030,0.000004
957,0.980528
738,0.999679
11481,0.000019
9811,0.000120
6132,0.000083
9640,0.000018
11317,0.000041
9737,0.000018
481,0.999232
4835,0.995778
6446,0.998643
11820,0.000132
1737,0.998737
11942,0.000115
11240,0.000305
194,0.000006
128,0.000025
2154,0.999964
3953,0.000100
9472,0.999239
7157,0.000670
9956,0.000313
8105,0.003227
3825,0.000153
10487,0.998286
11171,0.000021
9732,0.000042
7592,0.006985
5843,0.999767
3458,0.000001
949,0.998873
10329,0.999694
8351,0.000049
5883,0.935840
9879,0.001928
5382,0.953222
9536,0.001419
5759,0.989388
9474,0.000928
1761,0.983720
11628,0.658487
2133,0.000001
7701,0.999771
10267,0.000010
4955,0.995156
3709,0.001041
7239,0.000001
9053,0.000004
1236,0.977376
10885,0.000003
1526,0.997721
3954,0.997523
3208,0.000001
10627,0.000003
897,0.000142
2306,0.997652
8613,0.999939
6428,0.999566
5124,0.000446
2649,0.000197
11193,0.879189
7962,0.000197
7783,0.998259
7360,0.000000
8924,0.999857
4703,0.000026
11544,0.000002
10304,0.999957
4898,0.995503
10845,0.982710
9311,0.710665
4664,0.999615
3727,0.000076
9418,0.000106
6302,0.999469
2681,0.000016
106,0.998776
4088,0.000643
12130,0.000735
6671,0.992844
11453,0.934709
6570,0.000091
1104,0.002238
10674,0.000011
6500,0.980846
4286,0.000756
6348,0.995099
8600,0.997346
3815,0.000056
8249,0.997558
7408,0.000920
1530,0.999711
3343,0.000389
1442,0.983438
5728,0.000034
1127,0.000007
3206,0.999969
2731,0.000167
11035,0.998392
12167,0.999664
11472,0.999962
12271,0.003703
2980,0.000621
12220,0.000007
1830,0.000170
2369,0.000012
1366,0.984509
9262,0.000004
4562,0.999381
7484,0.999293
4614,0.000176
1021,0.005192
6917,0.000037
3777,0.002526
2364,0.000075
4991,0.000022
5612,0.000006
1275,0.999856
5192,0.000000
5877,0.357168
1759,0.999944
6634,0.000543
788,0.000086
9392,0.000097
10572,0.000042
5689,0.998710
11404,0.000005
2823,0.000006
6854,0.964375
7481,0.000035
5950,0.000112
1950,0.997558
5588,0.972053
4677,0.999761
3514,0.000119
5563,0.000014
8484,0.000001
8754,0.000024
7536,0.997084
3681,0.000011
12203,0.000092
111,0.945822
1265,0.000150
4465,0.998698
1055,0.619344
9700,0.056526
10930,0.967439
10045,0.259077
1363,0.000101
4609,0.000021
7537,0.997239
4691,0.999918
4153,0.000298
11416,0.999842
6688,0.996812
3563,0.999385
2585,0.000008
7624,0.000478
4990,0.000019
858,0.997971
3977,0.000013
10565,0.984450
6538,0.000080
8322,0.000089
1769,0.999926
9486,0.000186
5149,0.000000
11352,0.999476
7597,0.000355
5540,0.000084
4479,0.000115
2110,0.999900
9772,0.999630
6755,0.000026
5656,0.868450
1106,0.982675
11863,0.999567
11841,0.999944
3386,0.000026
12478,0.297485
9848,0.000012
8007,0.000030
6847,0.998815
8121,0.999976
5688,0.991478
11487,0.998770
7292,0.000990
7263,0.000874
7117,0.999690
10927,0.000023
6086,0.999967
12180,0.998155
9055,0.610846
11320,0.997573
382,0.000079
6204,0.001463
1009,0.999629
2808,0.000032
2776,0.993451
